entity_count,operation,sample,calls,elapsed_ticks,microseconds_per_call,managed_bytes,managed_bytes_per_call
1000,Find.missing,19,8,9967,124.5875,0,0
1000,Find.missing,20,8,10142,126.775,0,0
1000,Find.missing,21,8,10195,127.4375,0,0
1000,Find.missing,22,8,10410,130.125,0,0
1000,Find.missing,23,8,10712,133.9,0,0
1000,Find.missing,24,8,10156,126.95,0,0
1000,Find.uniform,0,8,7388,92.35,0,0
1000,Find.uniform,1,8,7018,87.725,0,0
1000,Find.uniform,2,8,6697,83.7125,0,0
1000,Find.uniform,3,8,7039,87.9875,0,0
1000,Find.uniform,4,8,6918,86.475,0,0
1000,Find.uniform,5,8,7284,91.05,0,0
1000,Find.uniform,6,8,6875,85.9375,0,0
1000,Find.uniform,7,8,7109,88.8625,0,0
1000,Find.uniform,8,8,6978,87.225,0,0
1000,Find.uniform,9,8,6574,82.175,0,0
1000,Find.uniform,10,8,6736,84.2,0,0
1000,Find.uniform,11,8,6607,82.5875,0,0
1000,Find.uniform,12,8,6516,81.45,0,0
1000,Find.uniform,13,8,6964,87.05,0,0
1000,Find.uniform,14,8,7687,96.0875,0,0
1000,Find.uniform,15,8,8030,100.375,0,0
1000,Find.uniform,16,8,6585,82.3125,0,0
1000,Find.uniform,17,8,6899,86.2375,0,0
1000,Find.uniform,18,8,6748,84.35,0,0
1000,Find.uniform,19,8,6634,82.925,0,0
1000,Find.uniform,20,8,6955,86.9375,0,0
1000,Find.uniform,21,8,6881,86.0125,0,0
1000,Find.uniform,22,8,7036,87.95,0,0
1000,Find.uniform,23,8,7131,89.1375,0,0
1000,Find.uniform,24,8,6997,87.4625,0,0
1000,Harness.find-checksum,0,8,9,0.1125,0,0
1000,Harness.find-checksum,1,8,1,0.0125,0,0
1000,Harness.find-checksum,2,8,1,0.0125,0,0
1000,Harness.find-checksum,3,8,1,0.0125,0,0
1000,Harness.find-checksum,4,8,1,0.0125,0,0
1000,Harness.find-checksum,5,8,1,0.0125,0,0
1000,Harness.find-checksum,6,8,0,0,0,0
1000,Harness.find-checksum,7,8,1,0.0125,0,0
1000,Harness.find-checksum,8,8,1,0.0125,0,0
1000,Harness.find-checksum,9,8,1,0.0125,0,0
1000,Harness.find-checksum,10,8,1,0.0125,0,0
1000,Harness.find-checksum,11,8,1,0.0125,0,0
1000,Harness.find-checksum,12,8,1,0.0125,0,0
1000,Harness.find-checksum,13,8,1,0.0125,0,0
1000,Harness.find-checksum,14,8,1,0.0125,0,0
1000,Harness.find-checksum,15,8,1,0.0125,0,0
1000,Harness.find-checksum,16,8,1,0.0125,0,0
1000,Harness.find-checksum,17,8,1,0.0125,0,0
1000,Harness.find-checksum,18,8,1,0.0125,0,0
1000,Harness.find-checksum,19,8,1,0.0125,0,0
1000,Harness.find-checksum,20,8,1,0.0125,0,0
1000,Harness.find-checksum,21,8,1,0.0125,0,0
1000,Harness.find-checksum,22,8,1,0.0125,0,0
1000,Harness.find-checksum,23,8,1,0.0125,0,0
1000,Harness.find-checksum,24,8,1,0.0125,0,0
1000,OrderedEntities.Building,0,2,50753,2537.65,0,0
1000,OrderedEntities.Building,1,2,53058,2652.9,0,0
1000,OrderedEntities.Building,2,2,52755,2637.75,0,0
1000,OrderedEntities.Building,3,2,50915,2545.75,0,0
1000,OrderedEntities.Building,4,2,52224,2611.2,0,0
1000,OrderedEntities.Building,5,2,52625,2631.25,0,0
1000,OrderedEntities.Building,6,2,53784,2689.2,0,0
1000,OrderedEntities.Building,7,2,52411,2620.55,0,0
1000,OrderedEntities.Building,8,2,50673,2533.65,0,0
1000,OrderedEntities.Building,9,2,52589,2629.45,0,0
1000,OrderedEntities.Building,10,2,53906,2695.3,0,0
1000,OrderedEntities.Building,11,2,51855,2592.75,0,0
1000,OrderedEntities.Building,12,2,50997,2549.85,0,0
1000,OrderedEntities.Building,13,2,52194,2609.7,0,0
1000,OrderedEntities.Building,14,2,51877,2593.85,0,0
1000,OrderedEntities.Building,15,2,51862,2593.1,0,0
1000,OrderedEntities.Building,16,2,53350,2667.5,0,0
1000,OrderedEntities.Building,17,2,54094,2704.7,0,0
1000,OrderedEntities.Building,18,2,53041,2652.05,0,0
1000,OrderedEntities.Building,19,2,51547,2577.35,0,0
1000,OrderedEntities.Building,20,2,51614,2580.7,0,0
1000,OrderedEntities.Building,21,2,51161,2558.05,0,0
1000,OrderedEntities.Building,22,2,52937,2646.85,0,0
1000,OrderedEntities.Building,23,2,51020,2551,0,0
1000,OrderedEntities.Building,24,2,51203,2560.15,0,0
10000,Find.zero,0,8,11,0.1375,0,0
10000,Find.zero,1,8,1,0.0125,0,0
10000,Find.zero,2,8,1,0.0125,0,0
10000,Find.zero,3,8,1,0.0125,0,0
10000,Find.zero,4,8,1,0.0125,0,0
10000,Find.zero,5,8,1,0.0125,0,0
10000,Find.zero,6,8,1,0.0125,0,0
10000,Find.zero,7,8,1,0.0125,0,0
10000,Find.zero,8,8,1,0.0125,0,0
10000,Find.zero,9,8,1,0.0125,0,0
10000,Find.zero,10,8,1,0.0125,0,0
10000,Find.zero,11,8,1,0.0125,0,0
10000,Find.zero,12,8,1,0.0125,0,0
10000,Find.zero,13,8,1,0.0125,0,0
10000,Find.zero,14,8,1,0.0125,0,0
10000,Find.zero,15,8,1,0.0125,0,0
10000,Find.zero,16,8,1,0.0125,0,0
10000,Find.zero,17,8,1,0.0125,0,0
10000,Find.zero,18,8,1,0.0125,0,0
10000,Find.zero,19,8,1,0.0125,0,0
10000,Find.zero,20,8,1,0.0125,0,0
10000,Find.zero,21,8,1,0.0125,0,0
10000,Find.zero,22,8,1,0.0125,0,0
10000,Find.zero,23,8,1,0.0125,0,0
10000,Find.zero,24,8,1,0.0125,0,0
10000,Find.first,0,8,3570,44.625,0,0
10000,Find.first,1,8,1349,16.8625,0,0
10000,Find.first,2,8,1547,19.3375,0,0
10000,Find.first,3,8,1377,17.2125,0,0
10000,Find.first,4,8,1502,18.775,0,0
10000,Find.first,5,8,1577,19.7125,0,0
10000,Find.first,6,8,1189,14.8625,0,0
10000,Find.first,7,8,1200,15,0,0
10000,Find.first,8,8,1312,16.4,0,0
10000,Find.first,9,8,1218,15.225,0,0
10000,Find.first,10,8,1207,15.0875,0,0
10000,Find.first,11,8,2488,31.1,0,0
10000,Find.first,12,8,1241,15.5125,0,0
10000,Find.first,13,8,1204,15.05,0,0
10000,Find.first,14,8,1297,16.2125,0,0
10000,Find.first,15,8,1232,15.4,0,0
10000,Find.first,16,8,1212,15.15,0,0
10000,Find.first,17,8,1199,14.9875,0,0
10000,Find.first,18,8,1326,16.575,0,0
10000,Find.first,19,8,1241,15.5125,0,0
10000,Find.first,20,8,1214,15.175,0,0
10000,Find.first,21,8,1307,16.3375,0,0
10000,Find.first,22,8,1222,15.275,0,0
10000,Find.first,23,8,1274,15.925,0,0
10000,Find.first,24,8,1412,17.65,0,0
10000,Find.middle,0,8,51697,646.2125,0,0
10000,Find.middle,1,8,50159,626.9875,0,0
